نام,gender,score
عبدالحق,1,1
عبدالسلام,1,1
عبداللہ,1,1
عبدالجبار,1,1
عبدالجیلیل,1,1
عبدالجلیل,1,1
Abdulkadir,1,1
عبدالکریم,1,1
عبد کریم,1,1
عبدالکریم,1,1
عبد کرم,1,1
عبدالخالق,1,1
Abdull کی,1,1
عبداللہ,1,1
عبداللہ,1,1
عبد اللہ,1,1
عبداللہ,1,0
عبدالله,1,1
عبدالوفف,1,1
عبدل لطیف,1,1
Abdullatif,1,1
عبدلازت,1,1
عبداللو,1,0
عبد اللہ,1,1
عبداللہ,1,0
عبدالمجید,1,1
عبدالججد,1,1
عبدالمجید,1,1
عبدالملکک,1,1
عبدالملکک,1,1
عبدالمالک,1,1
عبدالمتین,1,1
عبدالموامین,1,1
عبد الہسن,1,1
عبد الہیمین,1,1
Abdulnasir,1,1
عبدال ناصر,1,1
عبدالقادر,1,1
عبدالقیوم,1,1
عبدالرحیم,1,1
عبدالرحیم,1,1
Abdulrahim,1,1
عبدالرحیم,1,1
عبدالرحمن,1,1
عبدالرحمن,1,1
عبدراقق,1,1
عبد الرحمان,1,1
عبد الرحمان,1,1
Abdulrhman,1,1
عبدالسلام,1,1
عبدالسلام,1,1
عبدالصمد,1,1
عبدالصامی,1,1
عبدالواحد,1,1
عبدالواحد,1,1
عبدالواحد,1,1
عبدالواحد,1,1
عبدالوہاب,1,1
وہ ٹوٹ نہیں گئے ہیں,1,1
عبد,1,1
عبدالرحیم,1,1
عبدالرحیم,1,1
عبدالرحمن,1,1
عبد الرحمن,1,1
عبدالرحمن,1,0
عبد رافی,1,1
مجھے Abdurrahee,1,1
رحم کرنے والا,1,1
عبد,1,1
رحم کرنے والا,1,1
عبد الرحمن، جنہوں نے,1,1
عبد الرحمان,1,1
عبد الرحمن,1,1
رحم کی قسم,1,1
عبد الرحمان,1,1
رحم کی قسم,1,1
Abdurrh فنانسنگ,1,1
عبدالسلام,1,1
عبد اللہ,1,1
عبدشاکر,1,1
عبدالسلام,1,1
عبدالسلام سلام,1,1
عبدالسلام,1,1
عبدالسلام,1,1
عبدالسلام,1,1
Abduweli,1,0
میرے والد,1,0
ایبل,1,1
ایک بستر,1,1
سے Abeda,0,0
عبد اللہ,1,1
عبدالرحمن,1,1
Abednego,1,0
Abedraouf,1,1
ابا,1,1
اس کے دادا,0,0
اس کے والد,0,1
ایب,1,1
ایب,0,0.951401869
ایبیہ,0,1
ایبیہ,0,0
ایبیگل,0,0
Abegale,0,1
Abagayle,0,1
ابیل,1,0
Abela,0,1
ابیلارڈ,1,0
ابیلارڈو,1,1
Abele,1,0
ابیلینا,0,1
ابیلینو,1,1
ابیل,1,0.6875
مکھی,0,1
Abelone,0,0
ابم,1,1
Aben,1,1
ابینا,0,0
ابنی,0,0
Abencer,1,1
ابی,0,0
Abenner,1,0
لیکن,0,1
ابرشش,0,0
ابرڈین,0,1
ابھرام,1,1
ابرناہی,0,1
آبرٹ,1,1
Abery,0,1
غفلت,1,0
Abesalom,1,0
ابی,0,0.62962963
ابگل,0,1
ابا,0,0
اشارہ,0,0
الفاظ,1,0
ابی,1,0
ابیشسنگ,1,0
ابییک,1,1
اب,1,1
ابیاہ,0,0
رسائی,0,1
ابیجی,1,1
ابیجیٹ,1,0
ابیجیت,1,0
ابیجیت,1,1
نوبت,1,1
چاچا,1,1
ابلاش,1,0
وہ چمکتے ہیں,0,0
فخر,1,0
ابہمیانو,1,1
مبارک ہو,1,0
ابھش,1,0
ابنا,1,0
اداکاری,1,1
ابیایا,0,1
ابیون,1,0
ہپس,0,0
ابرم,1,1
ابراج,1,1
ابرم,1,1
اچھا,0,0
ابھرپ,1,1
ابیشی,1,0
ابیشخ,1,0
ابشیک,1,0
ابشیک,1,0
ابیشی,1,0
ابشیک,1,0
ابشیک,1,0
وہ جانتا تھا,0,0
ابلاغ,1,1
مدد,0,0
صرف,3,0
ابیگیل,0,0
ابیراج,0,1
ابیاہ,3,0
شروع کرو,1,1
Abianna,0,1
بابل,0,1
abibat,0,0
ابیباتھ,0,0
عابد,1,1
عابدہ,0,1
عابدہ,0,1
عابان,1,0
ہمیشہ,1,1
عابدیمی,1,0
تبدیل کریں,1,1
عابدور,1,1
ابی,1,0.904964539
ابیگل,0,1
ابیل,1,0
ابیل,0,1
تم سے شادی کرو,0,1
ابیزر,1,1
ابیگیل,0,0.996807152
ابیگیلیل,0,1
ابیگیل,0,1
ابیگیل,0,1
ابیگیا,0,0
ابیگیل,0,0
Abigaile,0,1
ابیگیلگل,0,1
ابیگیلیل,0,1
ابیگیل لاؤ,0,0
Abigailmarie,0,1
ابیگیلروس,0,1
ابیگیل گلاب,0,0
ابیگیل,0,1
ابیگلی,0,1
غلط استعمال کی اطلاع دیں,0,1
Abigayl,0,1
بے شمار,0,0
ابدی,0,1
ابیگیل,0,1
Abigial,0,1
اس کے والد,0,1
ابیبیل,0,1
ابیہو,1,0
ابیاہ,3,0
عربی,0,0
ابابش,1,1
ابیلیلہ,0,0
ابی لیگ,0,0
ابیلین,0,0
ابیلگل,0,1
ابیلیو,1,0
ابی لاؤ,0,0
ابیلین,0,1
ابیلن,0,1
ابی,0,0
ابییلیل,1,0
وہ نہیں کرتے,3,0
ابی ملک,1,1
ابییمچچ,1,0
کیا,1,1
ابینا,0,0
ابناش,1,1
ابیناباب,1,1
ابینڈی,1,1
ابیش,1,1
اباب,1,1
ٹھیک ہے,0,1
یہ سب ہے,1,1
ابینیش,1,1
ابیوڈون,3,0
ابیولا,0,0.768421053
ابونا,0,1
خلاصہ,1,0
ابیر,1,0.730205279
ابارا,0,1
ابیرام,1,0
ابیامی,0,1
ابیامی,0,0
ابی گلاب,0,0
Abisag,0,1
یہاں Avishai,1,0
ابیان,1,1
اباب,0,1
عائشہ,0,1
ابیشگ,0,0
ابیشی,1,0
ابشیک,1,0
ابابیک,1,1
ابیان,1,1
ابیشان,1,1
ابیشی,1,1
وہ معافی چاہتا ہے,0,1
بدسلوکی,0,0
ابوالتی,0,0
ابی ٹیلر,0,0
اباب,0,0
ابیڈود,1,1
ابیا,0,0
Abige,0,0.5
ابائزر,1,1
بہن,0,1
قابلیت,1,1
Abnel,1,1
ابھر,1,0
ابنی,0,0.666666667
ابو بکر,1,1
ابوالفضل,1,0
خواتین,0,0
Abony,0,1
ابو,1,1
Aboubacar,1,0
Aboubakar,1,1
کھولیں,0,1
ابراام,1,0
ابھار,1,1
ابہرا,0,1
ابراہیم,1,0
ابراہان,1,1
ابراہیم,1,1
ابراہیم,1,1
ابراہیم,1,1
Abrahm,1,1
ابرام,1,0
ابراہیم,1,0
کھولیں,1,1
آہستہ,0,1
ابرار,0,0.525757576
ابراکس,1,0.545454545
ابا,0,1
Abreana,0,1
کھولیں,0,1
براہ مہربانی دوبارہ کوشش کریں,0,1
نیویا,0,1
وہ کھولتے ہیں,1,1
Abreona,0,1
Abreonna,0,1
Abrey,0,1
ابیرا,0,1
Abrham,1,1
پناہ گاہ,0,1
کھولیں گے,0,1
آرا,0,1
ابیڈل,0,1
وہ کھولیں گے,1,1
Abrian,1,0.982394366
ابرانا,0,1
Abrianna,0,1
ابرانناہ,0,1
Abrianne,0,1
Abrie,0,1
Abriel,0,0.646542261
Abriela,0,1
Abriele,0,1
Abriella,0,1
Abrielle,0,1
کھولیں,1,1
ابین,0,1
ابرگیل,0,1
Abrihet,0,1
اپریل,0,0.999280161
ابریل,0,1
ابرن,0,0
ابرینا,0,1
abrion,1,1
کھولیں,0,1
کھولیں,0,1
ابرش,0,1
Abriya,0,1
ابرام,0,1
ابیا,0,1
ابرامس,1,1
ابرون,1,1
abrum,1,1
ابی,0,1
یریانا,0,1
ابراننا,0,1
ابیرییلا,0,1
ایریرییل,0,1
Abryl,0,1
Absalat,0,1
ابیسموم,1,0
Absalon,1,1
ابسر,1,1
ابشیر,1,1
ابلاغ,0,1
ابولون,1,0
Abtin,1,1
ابو,1,0
ابوبکر,1,1
ابوبکر,1,1
ابوبکر,1,0
ابو بکر,1,1
ہراساں کرنا,1,1
ابوبکر,1,1
ابوبکر,1,1
ابوبکر,1,1
ابوبکر,1,1
ابو بکر,1,1
ابو حریرا,1,1
خلاصہ,1,1
Abukar,0,1
ابوکر,1,1
ابوال,1,0
ابدی,1,1
ابو سوفان,1,1
ابوذر,1,1
کرنے,0,0.777777778
ابیڈے,0,1
ابیان,1,0.777777778
ابیگیل,0,1
ابیگیل,0,1
Abygaile,0,1
Abygale,0,1
ابیگیلا,0,1
ابیسیشیا,0,1
اور,1,1
یہاں,1,0
اکاکیا,0,0
Acacius,1,0
اکادیا,0,1
Acamas,1,1
آتنھا,0,0
Acari,1,1
Acasia,0,1
اکاکیا,0,1
Accalia,0,1
رسائی,1,1
Accie,1,1
Accursio,1,1
Ace,1,0
کہ,1,0.927536232
Acein,1,1
کہ,1,1
Acelin,1,0.838983051
Acelino,1,1
آسیہ,0,0
Acelyn,0,0.985632184
Acelynn,0,1
ایکن,1,1
کشیدگی,1,1
Aceon,1,1
Acer,1,1
Aceson,1,1
Acesyn,1,1
acetone کے,1,1
Acey,1,0.962352941
Aceyn,1,1
اشاب,1,0
achab,1,0
اچھا,1,1
اچیا,0,1
اکیسیکس,1,0
اچاکوس,1,0
آچن,1,0
Achante,0,1
اچتی,0,1
Achard,1,0
آچاری,1,1
رپورٹ,0,1
Achel,0,1
اچرون,1,1
اچیگین,0,0
کوائف,1,0
اکیلے,1,0
اکیلے,1,0
اکیلے,1,1
آخم,1,0
اچن,1,0
اچینووم,0,0
سوئچنگ,1,1
اکول,0,1
اشرف,1,1
اچسا,0,1
اچسا,0,1
ایوٹ,1,1
ایوٹ,1,1
ایکیا,0,1
aciano,1,1
لکیر,1,0.978250362
Aciel,1,1
فوری,1,1
اکائر,0,1
آرچی,1,0
قبول کرو,1,1
اککی,1,1
آکو,1,0
ٹھیک ہے,1,1
Acquanetta,0,1
Acquanette,0,1
Acsa,0,1
Acura,0,1
Acxel,1,1
آسیسی,1,0.982078853
کے,1,0
وہاں ہے,0,0
میرے والد,1,1
ایڈابیل,0,1
عادابیلا,0,1
ایڈابیل,0,1
ایڈاب پیٹر,1,1
ADAC,0,1
عاداد,1,0
اڈا,1,1
چھوڑ دو,1,1
چھوڑ دو,0,1
عرش,0,0
ایڈجیو,1,1
یا نہیں,0,0
دکھائیں,1,1
عادلہ,0,1
عادلیا,0,1
عادی,1,1
وہ اسے پسند کرتا ہے,0,1
Adaia,0,1
یسعیاہ,0,0.857142857
بڑے ذیلی,0,1
اڈگا:,0,1
ایڈیلین,0,1
عادین,1,1
ایڈیر,1,0
Atsushiro,0,1
کہہ دو,0,1
ایڈیریس,0,1
عائشہ,0,1
Adaisia,0,1
ایڈجا,0,1
ادجا,0,1
اداکو,0,1
عادل,1,1
عادل,0,1
عادل,0,1
Adlake,0,1
عملی,0,1
اڈالائیڈ,0,1
عدالت,1,0
عدالت,0,1
عدالت,0,1
Adalay میں,0,1
Adalberht,1,0
Adalbern,1,0
Adalbert کا,1,0
Adalberto,1,0
پٹھوں,0,1
عدالت,0,1
عدلہ,0,1
Adalee,0,1
Adaleen,0,1
ایڈلیینا,0,1
عادلی,0,1
ایڈیلیا,0,1
ایڈیل,0,1
ایڈیلین,0,1
Adalen,0,1
Adalena,0,1
عادلین,0,1
جسٹس,0,0
جسٹس,0,1
Adaleya,0,1
حکم دیا,0,1
Adalfarus,1,0
عادفونس,1,0
عادلارڈ,1,0
Adalheidis,0,0
Adalhi,0,1
وہ ہیں,0,0.939086294
ینٹالیا,1,0
Adaliah,0,1
Adalicia,0,1
ایڈمنڈ,1,0.9
عادلڈا,0,1
داخل کریں,0,1
عادلین,0,1
عادلین,0,1
Adalina,0,1
عادلند,0,1
عادلندا,0,1
عادلین,0,1
Adalinn,0,1
Adalinne,0,1
عادل,0,1
Adalisa,0,1
ایڈجسٹ کریں,0,1
Adalisse,0,1
عادل,1,1
جسٹس,0,1
ہم منصفانہ ہیں,0,1
ایڈجسٹ کریں,0,1
Adallyn,0,1
Adallysha,0,0
ایڈالون,1,0
Adalwolf,1,0
Adaly,0,1
عادل,0,1
Adalya,0,1
Adalyn,0,0
عادلین,0,1
Adalynd,0,1
Adalyne,0,1
Adalynn,0,0
Adalynne,0,1
Adalys,0,1
اجنبی,0,1
آدم,1,0
آدم,0,0.597593583
ADAMA,0,1
آدماری,0,1
آدمی,0,1
آدمارس,0,1
آدماریز,0,1
آدمی,0,1
آدمی,0,1
آدم,1,1
ہو سکتا ہے,0,0
انسان کو,0,0
آدم جیمز,1,1
آدم جیس,1,1
آدم جارج,1,1
Adamm,1,1
اجنام,0,1
ناگزیر,1,1
آدم,1,0
ایڈمز,1,1
آدمو,1,0
عدنان,1,0.996122935
اڈانا,0,1
ایڈنلی,0,1
Adanelly,0,1
Adanely,0,1
عدنان کی,0,0
عدنان کی سزا,0,0
Adante,1,1
وہاں,0,1
صدوسیس,0,1
ادہ,0,1
ایڈار,1,0.666666667
مارچ,0,0
ادارا,0,1
اداری,1,1
جواب دیا,0,1
ایڈریان,1,1
ایڈریو,1,1
ایڈورینس,1,1
بے حد,1,1
ایڈریو,1,1
